,node1,node2,weight
0,62.0,2.0,0.6984245016985586
0,38.0,9.0,0.7112256724333096
0,38.0,61.0,0.0671708928182626
0,8.0,54.0,0.6689526264806375
0,12.0,62.0,0.42754673063772464
0,21.0,54.0,0.4402528381163814
0,3.0,18.0,0.17519224465911443
0,2.0,49.0,0.40282769236906857
0,5.0,51.0,0.06605694515474048
0,7.0,4.0,0.8858833832680165
0,1.0,36.0,0.9827716570549377
0,53.0,18.0,0.022275424082230377
0,35.0,50.0,0.9705124266833346
0,14.0,13.0,0.785173788736592
0,4.0,38.0,0.8941863992331142
0,22.0,21.0,0.3880073040814992
0,57.0,4.0,0.32211833676604174
0,47.0,43.0,0.6066265032861885
0,44.0,30.0,0.3271154287892508
0,49.0,57.0,0.08709894040242117
0,52.0,61.0,0.5303185463933593
0,32.0,33.0,0.303915832299385
0,14.0,57.0,0.034553251287439024
0,44.0,61.0,0.19509620772440273
0,37.0,10.0,0.04557789356473496
0,46.0,42.0,0.34674900876440606
0,52.0,47.0,0.4328064225094419
0,54.0,25.0,0.49490647930804177
0,2.0,51.0,0.5121649835850567
0,39.0,33.0,0.8171416923483813
0,14.0,31.0,0.4476111248983625
0,60.0,5.0,0.3865483002646055
0,36.0,55.0,0.7376438356010375
0,16.0,51.0,0.725144415934955
0,39.0,26.0,0.04686535536979197
0,14.0,39.0,0.8342905455688562
0,27.0,2.0,0.14376452088486502
0,54.0,60.0,0.01747013351719362
0,49.0,40.0,0.8174383340151965
0,48.0,57.0,0.9831658139331105
0,51.0,45.0,0.5904931762024873
0,56.0,10.0,0.9580985009690736
0,59.0,31.0,0.5239146615111336
0,6.0,21.0,0.9419007193718846
0,36.0,25.0,0.31940245417862034
0,44.0,10.0,0.08620888900598389
0,39.0,27.0,0.9644932386159757
0,51.0,38.0,0.507753868876667
0,42.0,9.0,0.9991147876531287
0,26.0,12.0,0.915412224722089
0,9.0,17.0,0.5864451274608722
0,36.0,19.0,0.5436142254031766
0,28.0,32.0,0.44614162587823203
0,36.0,62.0,0.9615529616102889
0,41.0,7.0,0.7204579868662155
0,9.0,7.0,0.2932127938947866
0,16.0,18.0,0.47685084805464484
0,9.0,48.0,0.14806776684136946
0,59.0,16.0,0.7444078555557219
0,55.0,14.0,0.03456333920075605
0,31.0,12.0,0.09126532601467807
0,8.0,56.0,0.37823932199696864
0,5.0,43.0,0.40340856539689274
0,51.0,48.0,0.3841938507545063
0,12.0,8.0,0.9040540161668907
0,17.0,62.0,0.8153884472846372
0,56.0,50.0,0.19858767258325283
0,27.0,3.0,0.6646182166477486
0,59.0,48.0,0.8723942475850656
0,51.0,9.0,0.7516576338764622
0,60.0,1.0,0.5634832497505046
0,47.0,5.0,0.000827431199250328
0,41.0,18.0,0.9508396174881215
0,40.0,30.0,0.3357652649767314
0,25.0,42.0,0.9011416061990296
0,35.0,45.0,0.792149843330407
0,28.0,1.0,0.45413250926576443
0,1.0,27.0,0.3396580863443237
0,35.0,16.0,0.20724743528926726
0,63.0,25.0,0.8588922384014097
0,61.0,26.0,0.8451883483333648
0,28.0,57.0,0.9887792350969561
0,46.0,49.0,0.4681123639369047
0,7.0,11.0,0.9470121543340521
0,3.0,46.0,0.960795752099364
0,12.0,39.0,0.9603325783175815
0,38.0,29.0,0.044274609519803554
0,17.0,19.0,0.7984189829797943
0,33.0,20.0,0.2588549436930796
0,18.0,52.0,0.672979979656648
0,23.0,56.0,0.4321508136061186
0,30.0,4.0,0.7826077405072849
0,18.0,22.0,0.9246362177684774
0,33.0,53.0,0.28028858948706925
0,33.0,10.0,0.6469690146405183
0,42.0,40.0,0.33006390647586714
0,21.0,56.0,0.5649568273350742
0,38.0,15.0,0.9597793417252891
0,2.0,34.0,0.06401952029009206
0,1.0,32.0,0.28109214174326946
0,27.0,23.0,0.6170940911763086
0,22.0,17.0,0.18089183845672285
