,node1,node2,weight
0,9.0,1.0,0.0666748207168909
0,40.0,52.0,0.068335289806562
0,35.0,59.0,0.9801265968826048
0,19.0,39.0,0.03154067321858278
0,2.0,32.0,0.16780582311567416
0,55.0,23.0,0.3829665592843432
0,11.0,33.0,0.22118981453146758
0,48.0,51.0,0.7674499955605645
0,17.0,29.0,0.4833723644413719
0,17.0,13.0,0.4720620725919875
0,17.0,32.0,0.18654912532158796
0,63.0,13.0,0.44653205785768
0,24.0,4.0,0.6684790172373742
0,55.0,26.0,0.09026677007951533
0,31.0,61.0,0.11030798091868388
0,17.0,58.0,0.15021784488703982
0,25.0,30.0,0.19128126289930214
0,49.0,13.0,0.7686459383668856
0,25.0,7.0,0.8073504740520219
0,45.0,11.0,0.17453930531546102
0,33.0,29.0,0.39782122591158775
0,39.0,3.0,0.010292657307854225
0,52.0,6.0,0.03107749022545736
0,35.0,56.0,0.6475948553784537
0,48.0,63.0,0.8282498701217776
0,12.0,26.0,0.7982269303911101
0,10.0,5.0,0.8350897261582814
0,29.0,12.0,0.3728158156928215
0,36.0,11.0,0.0504844030472229
0,5.0,51.0,0.13301692657974906
0,4.0,9.0,0.008809412323070198
0,40.0,14.0,0.10705787468152028
0,12.0,32.0,0.9468145284818025
0,10.0,19.0,0.4382303718596038
0,50.0,2.0,0.34730124618158564
0,49.0,14.0,0.04074609595596457
0,34.0,12.0,0.6810417547221808
0,61.0,48.0,0.03449720619069241
0,63.0,32.0,0.7750528915804278
0,2.0,17.0,0.6490931481272866
0,31.0,13.0,0.7105081114670261
0,0.0,29.0,0.7765824162593473
0,43.0,59.0,0.21945340992625229
0,19.0,3.0,0.9270261877674624
0,16.0,50.0,0.8951068718024052
0,20.0,57.0,0.18863815149743257
0,13.0,50.0,0.26939677251449723
0,41.0,13.0,0.8206091778495177
0,34.0,47.0,0.9302314510649651
0,3.0,20.0,0.25010777477588864
0,20.0,42.0,0.6117298943903837
0,49.0,48.0,0.6806759636773546
0,24.0,40.0,0.8084908929913922
0,4.0,51.0,0.7069136221077581
0,53.0,33.0,0.95689934873292
0,63.0,6.0,0.1318534919426193
0,15.0,43.0,0.10265608671914483
0,36.0,7.0,0.691108573705748
0,17.0,46.0,0.584326643398515
0,50.0,57.0,0.5800761820438564
0,26.0,6.0,0.8937298907381647
0,55.0,1.0,0.534214566266316
0,56.0,51.0,0.5066247823137104
0,50.0,30.0,0.6381643869686086
0,50.0,29.0,0.059837539898443426
0,21.0,7.0,0.08690647482307812
0,27.0,41.0,0.021440825375544703
0,37.0,47.0,0.26351390573428646
0,20.0,53.0,0.48888452555911677
0,0.0,57.0,0.7813273893939018
0,32.0,18.0,0.8533640939526627
0,42.0,55.0,0.15096189717344777
0,51.0,63.0,0.6388942705726792
0,15.0,13.0,0.36970986686476304
0,7.0,28.0,0.30431053183995327
0,46.0,42.0,0.7187394880806474
0,63.0,15.0,0.4724808337713039
0,18.0,36.0,0.41325942912930436
0,39.0,1.0,0.8962694465747858
0,21.0,32.0,0.7818054458629872
0,5.0,53.0,0.675074632881907
0,57.0,19.0,0.4616230769485248
0,23.0,11.0,0.35431329604946105
0,23.0,5.0,0.9890136045001602
0,4.0,13.0,0.25614520614983605
0,56.0,55.0,0.9183310128263086
0,37.0,4.0,0.4441755284922192
0,31.0,38.0,0.6144135833043856
0,60.0,3.0,0.22867885620936224
0,12.0,61.0,0.975548719824879
0,43.0,26.0,0.23748042205503128
0,18.0,44.0,0.18774283048513307
0,7.0,31.0,0.40703959375133547
0,5.0,61.0,0.4189498693204555
0,33.0,53.0,0.38302013081563
0,43.0,24.0,0.3588697804313865
0,40.0,50.0,0.8670798714970387
0,42.0,13.0,0.21079338269848014
0,48.0,11.0,0.7880647512816482
0,56.0,29.0,0.7119874455149141
0,25.0,15.0,0.9855353273936315
0,33.0,57.0,0.13759137404377364
0,24.0,8.0,0.7320848424429771
0,26.0,53.0,0.457110592029095
0,5.0,39.0,0.41704650101003016
0,61.0,3.0,0.9809482445388386
0,49.0,44.0,0.13815182905705659
0,19.0,8.0,0.8995771668411047
0,20.0,14.0,0.038827803967848795
0,47.0,50.0,0.41445321533492685
0,49.0,56.0,0.667601003118583
0,43.0,23.0,0.6176233339223245
0,37.0,21.0,0.04263545005846636
0,5.0,28.0,0.31350583607554916
0,42.0,50.0,0.5389179899782485
0,59.0,58.0,0.3467875974560518
0,4.0,9.0,0.7080574169623334
0,44.0,0.0,0.6392550775609595
0,24.0,9.0,0.10592817308716063
0,26.0,60.0,0.5793631538126588
0,29.0,63.0,0.03552488302732992
0,27.0,51.0,0.8747392681494638
0,50.0,54.0,0.668945410585373
0,34.0,53.0,0.13602279576634457
0,59.0,9.0,0.27471934867354
0,47.0,20.0,0.045531636363383865
0,19.0,9.0,0.021072087589245947
0,51.0,24.0,0.35312392676240933
0,57.0,21.0,0.8123454545731217
0,35.0,31.0,0.8583634610869895
0,8.0,29.0,0.16163064266262428
0,38.0,23.0,0.542862013634368
0,37.0,4.0,0.7316887562878703
0,39.0,0.0,0.6596717459488733
0,51.0,28.0,0.28856270409409435
0,63.0,50.0,0.6144127686537126
0,4.0,13.0,0.19100224307947966
0,60.0,53.0,0.018239072710100612
0,1.0,9.0,0.9692791048326594
0,8.0,60.0,0.12133489344870008
0,42.0,47.0,0.7087742134988824
0,17.0,52.0,0.8384716398956926
0,49.0,0.0,0.7557300721142334
0,5.0,22.0,0.6244235696460866
0,19.0,52.0,0.8375274587881011
0,50.0,18.0,0.5433825359801614
0,37.0,33.0,0.859377590145732
0,31.0,59.0,0.16358308873292593
0,41.0,8.0,0.8728834157487075
0,24.0,31.0,0.24982426159318194
0,39.0,40.0,0.2526553463636587
0,14.0,49.0,0.3770654045152624
0,48.0,4.0,0.9081036626943073
0,44.0,40.0,0.05729262848769634
0,45.0,47.0,0.8813978297011074
0,57.0,32.0,0.29475499628991564
0,27.0,25.0,0.18294896149639028
0,26.0,62.0,0.8784778036767116
0,36.0,38.0,0.17591573967996887
0,12.0,63.0,0.7530587406876061
0,14.0,26.0,0.930145748566875
0,7.0,15.0,0.5466864868255786
0,6.0,37.0,0.8764125621788189
0,28.0,45.0,0.5540636440678239
0,42.0,7.0,0.8992179930559102
0,32.0,1.0,0.21432836901484997
0,55.0,19.0,0.526555142555377
0,56.0,44.0,0.8516046179003317
0,14.0,2.0,0.7547475985102735
0,29.0,50.0,0.2474892763586356
0,14.0,15.0,0.7925505490923676
0,11.0,61.0,0.12289191306050973
0,61.0,40.0,0.9363417208947655
0,59.0,47.0,0.025729700205552097
0,30.0,53.0,0.8345623221117497
0,34.0,36.0,0.5320027063014139
0,53.0,30.0,0.7064244973089062
0,0.0,55.0,0.29458780541308993
0,34.0,11.0,0.668219451383036
0,47.0,54.0,0.7327669409296739
0,45.0,59.0,0.6304756543144746
0,20.0,42.0,0.1805678041708404
0,16.0,14.0,0.5142669515069189
0,29.0,50.0,0.8001998772681885
0,19.0,1.0,0.6969907522759115
0,10.0,46.0,0.3236743913717347
0,24.0,47.0,0.646038101612994
0,42.0,32.0,0.7503232206308389
0,4.0,36.0,0.02382049267726205
0,22.0,8.0,0.31018048173484636
0,61.0,25.0,0.37740225079509837
0,21.0,63.0,0.7591151240906089
0,44.0,53.0,0.43238944566988213
0,30.0,56.0,0.753948228359132
0,39.0,48.0,0.6102392244715515
0,63.0,48.0,0.06479091318884467
0,58.0,62.0,0.8008113789448909
0,9.0,13.0,0.4036818820746919
0,38.0,55.0,0.8272661510760511
0,31.0,9.0,0.8782655520091748
0,55.0,6.0,0.08966275496104803
0,1.0,54.0,0.9902208327047911
0,32.0,48.0,0.5990691238153709
0,24.0,11.0,0.2643788155607515
0,54.0,29.0,0.16937456040296694
0,20.0,21.0,0.8175284607242316
0,23.0,4.0,0.5795857935393773
0,0.0,56.0,0.8389652230718154
0,62.0,15.0,0.6269686299969819
0,27.0,48.0,0.7536905745821577
0,20.0,40.0,0.44754570510614156
0,50.0,38.0,0.39587793703427965
0,56.0,39.0,0.2640445547971846
0,19.0,29.0,0.9976217965036969
0,33.0,52.0,0.2859125432880285
0,36.0,34.0,0.33727152241792124
0,58.0,5.0,0.9109778246919013
0,31.0,50.0,0.20042421077999084
0,40.0,51.0,0.8206620060314632
0,42.0,21.0,0.007151625831896213
0,50.0,3.0,0.6939271435978224
0,57.0,39.0,0.6687592330484972
0,50.0,24.0,0.7727428219140334
0,34.0,19.0,0.3527790243705118
0,32.0,53.0,0.4490874000859809
0,31.0,37.0,0.5722895954751833
0,57.0,59.0,0.6888958871046921
0,60.0,43.0,0.9262822335548908
0,28.0,18.0,0.11291711896273038
0,33.0,48.0,0.2756055448720037
0,48.0,45.0,0.6874863380737621
0,43.0,58.0,0.700677829890446
0,8.0,42.0,0.6928351307430372
0,58.0,43.0,0.39861364856026216
0,38.0,0.0,0.24322273677107742
0,20.0,29.0,0.1999566040652918
0,34.0,46.0,0.09806063154894684
0,32.0,56.0,0.6897689359903822
0,25.0,22.0,0.2933971012737552
0,20.0,36.0,0.5913019880893612
0,9.0,43.0,0.9829872323782022
0,62.0,17.0,0.5780398140450267
0,47.0,36.0,0.26100135166684146
0,13.0,52.0,0.15985319156323985
0,34.0,13.0,0.9318378303828273
0,5.0,43.0,0.7475754526809836
0,55.0,24.0,0.6240163008558391
0,14.0,39.0,0.5415475365553376
0,52.0,5.0,0.04495533444944799
0,37.0,8.0,0.21164732647786977
0,21.0,37.0,0.9879606484831331
0,37.0,53.0,0.4509814729938888
0,6.0,55.0,0.2291921790916086
0,16.0,24.0,0.918715612567994
0,52.0,12.0,0.22894969283559763
0,29.0,28.0,0.8535304274001512
0,21.0,46.0,0.7341720379565231
0,3.0,9.0,0.24583561639633222
0,7.0,1.0,0.4397185755311791
0,34.0,53.0,0.8802684675480565
0,36.0,48.0,0.7417483967079552
0,0.0,49.0,0.42033932789322503
0,10.0,19.0,0.6946451821748265
0,34.0,32.0,0.2683520452907996
0,25.0,15.0,0.6063583707488045
0,33.0,37.0,0.5816401509360537
0,2.0,4.0,0.35299998648680175
0,52.0,9.0,0.7486821383442007
0,28.0,42.0,0.38857453078038307
0,53.0,1.0,0.1691478679714168
0,57.0,37.0,0.9346705431978144
0,19.0,29.0,0.6418987287010944
0,3.0,61.0,0.7531215300886137
0,60.0,51.0,0.48332063954609317
0,49.0,58.0,0.8105095036911555
0,61.0,11.0,0.9479475308959678
0,54.0,20.0,0.5405181975990595
0,15.0,51.0,0.7831107512947476
0,56.0,18.0,0.20614381103531054
0,48.0,61.0,0.9228513086578943
0,30.0,50.0,0.8549224282349717
0,6.0,16.0,0.18181630262487336
0,27.0,55.0,0.7914559636105106
0,62.0,53.0,0.6859224750006526
0,34.0,58.0,0.5058362969552855
0,6.0,10.0,0.6762964417634284
0,40.0,18.0,0.7491651226452146
0,36.0,15.0,0.5128349630850423
0,56.0,54.0,0.17744832116975284
